Taluk name,Total Agricultural Land Holders _Total_numbers_Male,Total Agricultural Land Holders _Total_numbers_Female,Total Agricultural Land Holders _Total_numbers_Institution,Total Agricultural Land Holders _Total_numbers_Total,Total Agricultural Land Holders _Total_Area_Male,Total Agricultural Land Holders _Total_Area_Female,Total Agricultural Land Holders _Total_Area_Institutions,Total Agricultural Land Holders _Total_Area_Total
Afzalpur,37837,12663,5,50505,84973.34,25570.26,40.78,110584.38
Ajjampura,0,0,0,0,0,0,0,0
Aland,53260,12869,30,66159,124413.89,27056.27,212.97,151683.13
Alnavara,0,0,0,0,0,0,0,0
Alur,20810,5762,87,26659,22383.87,5586.74,986.45,28957.06
Anekal,31424,8322,0,39746,24534.65,6089.85,0,30624.5
Ankola,16799,5932,32,22763,9237.5,2700.6,50.82,11988.92
Annigeri,0,0,0,0,0,0,0,0
Arkalgud,51041,12064,247,63352,39942.14,9428.89,288.52,49659.55
Arsikere,71587,17106,368,89061,69070.86,15562.03,573.17,85206.06
Athani,91005,12401,2123,105529,159221.84,19305.91,7466.43,185994.18
Aurad,44071,10809,28,54908,88253.79,18127.78,112.57,106494.14
Babaleshwara,0,0,0,0,0,0,0,0
Badami,40071,7327,126,47524,79068.55,13417.21,2376.18,94861.94
Bagalkote,24110,5892,18,30020,48986.76,10736.48,48.29,59771.53
Bagepalli,27607,4299,2,31908,37406.5,5054.14,2.79,42463.43
Bailhongal,53196,4855,63,58114,81803,6324,251,88378
Ballari,33188,10708,123,44019,66762.76,17373.95,623.62,84760.33
Bangalore (North),33005,9039,12,42056,22948.08,6067.39,16.33,29031.8
Bangalore-East,5837,1364,0,7201,4757.04,938.66,0,5695.7
Bangalore-South,13832,4398,1,18231,13794.42,4153.32,1.14,17948.88
Bangarpet,25916,7007,23,32946,19071.16,3914.48,51.68,23037.32
Bantwal,36009,17023,249,53281,26428.51,12690,438.28,39556.79
Basavakalyan,46133,10817,67,57017,81064.08,16595.5,257.51,97917.09
Basavan Bagewadi,54545,10139,24,64708,149552.73,25543.8,135.52,175232.05
Belagavi,50284,3511,196,53991,60586,3804,1143,65533
Belthangady,29120,12851,69,42040,24991.75,11002.75,1212.93,37207.43
Belur,45886,10047,201,56134,47930.81,10122.41,679.82,58733.04
Bhadravathi,29888,11287,99,41274,23072.74,8710.84,146.53,31930.11
Bhalki,45263,14035,30,59328,71151.36,19792.57,75.2,91019.13
Bhatkal,13142,4856,35,18033,5668.53,1905.85,112.65,7687.03
Bidar,35162,10084,19,45265,52505.77,14688.87,45.92,67240.56
Bijapur,77219,11677,12,88908,201361.6,28282.05,72.31,229715.96
Bilagi,20087,3977,9,24073,34430.08,6231.71,36.66,40698.45
Bramhavara,19228,15435,106,34769,10200,8651,145,18996
Byadagi,20113,2480,14,22607,30085.79,3343.87,24.63,33454.29
Bynduru,14919,12541,17,27477,8555,5866,4,14425
Chadachana,0,0,0,0,0,0,0,0
Challakere,47955,16392,129,64476,107937.26,37191.13,954.94,146083.33
Chamarajanagara,64251,16142,86,80479,55371.4,12837.97,146.65,68356.02
Channagiri,47053,13649,175,60877,56135.03,15839.4,263.36,72237.79
Channapatna,49092,13255,397,62744,24326.8,6961.25,1132.73,32420.78
Channarayapatna,93388,27143,345,120876,61345.81,16518.02,507.14,78370.97
Chikballapur,37359,8341,43,45743,23851.76,4768.86,217.73,28838.35
Chikkodi,88367,6930,91,95388,104971,7187,557,112715
Chikmagalur,39846,8014,297,48157,52831.8,11077.75,3152.36,67061.91
Chiknayakanahalli,38689,7585,64,46338,52284.6,9168.09,73.32,61526.01
Chincholi,40787,11633,23,52443,85689.71,22966.68,110.84,108767.23
Chinthamani,41903,8018,7,49928,33304.64,6101.17,5.71,39411.52
Chitradurga,42424,16239,187,58850,74350.48,27559.37,747.21,102657.06
Chittaguppa,0,0,0,0,0,0,0,0
Chittapur,56697,11654,85,68436,118741.59,23572.76,368.07,142682.42
Dandelli,0,0,0,0,0,0,0,0
Davanagere,42100,11282,352,53734,51877.42,13103.04,1557.65,66538.11
Devanahalli,33496,8266,10,41772,23444.91,5353.42,46.42,28844.75
Devara Hipparagi,0,0,0,0,0,0,0,0
Devdurga,50314,10686,12,61012,105079.81,23925.36,20.67,129025.84
Dharwad,32998,6192,38,39228,65977.8,11761.64,379.36,78118.8
Doddaballapura,48712,14321,43,63076,37859.59,10700.16,135.08,48694.83
Gadag,33250,7169,128,40547,77882.27,14931.65,606.62,93420.54
Gajendragad,0,0,0,0,0,0,0,0
Gangavathi,47955,16735,48,64738,67802.45,20840.74,253.71,88896.9
Gauribidanur,46307,12625,43,58975,39159.35,9948.63,83.33,49191.31
Gokak,62459,4948,105,67512,107330,7633,774,115737
Gubbi,48864,12356,147,61367,52599.32,12323.75,114.74,65037.81
Gudibande,10350,2624,5,12979,5920.92,1537.61,1.12,7459.65
Gulbarga,50124,12834,23,62981,121081.02,28498.99,194.97,149774.98
Guledagudda,0,0,0,0,0,0,0,0
Gundlupet,40491,10346,82,50919,45738.15,11019.39,223.67,56981.21
Gurumithakala,0,0,0,0,0,0,0,0
Hadagali,29816,9361,88,39265,49040.85,15670.35,664.74,65375.94
Hagaribommanahalli,32145,12170,75,44390,40338.49,15945.66,122.65,56406.8
Haliyal,9588,1949,13,11550,17089.85,3473.44,28.26,20591.55
Hangal,33550,4810,25,38385,48806.39,6522.09,61.74,55390.22
Harapanahalli,46825,12951,108,59884,75426.61,19915.37,397.71,95739.69
Harihar,25495,5976,204,31675,32824.68,6918.75,730.22,40473.65
Hassan,81500,21568,358,103426,49414.49,12068.92,783.91,62267.32
Haveri,32147,3594,29,35770,58695.82,5831.87,154.62,64682.31
Hebri,4990,4105,20,9115,6033,5188,602,11823
Heggadadevanakote,38729,14037,33,52799,33811.87,12145.1,32.33,45989.3
